Animal ID,Name_Intake,DateTime_Intake,MonthYear_Intake,Found Location,Intake Type,Intake Condition,Animal Type_Intake,Sex upon Intake,Age upon Intake,Breed_Intake,Color_Intake,Name_Outcome,DateTime_Outcome,MonthYear_Outcome,Date of Birth,Animal Type_Outcome,Sex upon Outcome,Age upon Outcome,Breed_Outcome,Color_Outcome,binary_outcome
A591058,Rufus,11/07/2013 04:09:00 PM,11/07/2013 04:09:00 PM,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,7 years,Persian Mix,Black/White,Rufus,11/17/2013 01:51:00 PM,11/17/2013 01:51:00 PM,01/08/2006,Cat,Neutered Male,7 years,Persian Mix,Black/White,0.0
A685971,Peluche,08/15/2014 11:46:00 AM,08/15/2014 11:46:00 AM,Austin (TX),Owner Surrender,Normal,Dog,Intact Male,3 months,Dachshund Wirehair/Chihuahua Shorthair,White,Peluche,08/17/2014 06:56:00 PM,08/17/2014 06:56:00 PM,05/15/2014,Dog,Neutered Male,3 months,Dachshund Wirehair/Chihuahua Shorthair,White,0.0
A572004,Raven,12/26/2015 03:11:00 PM,12/26/2015 03:11:00 PM,Mc Clannahan And Synder in Travis (TX),Stray,Normal,Dog,Spayed Female,5 years,Labrador Retriever/Border Collie,Tricolor,Raven,12/26/2015 06:26:00 PM,12/26/2015 06:26:00 PM,03/05/2010,Dog,Spayed Female,5 years,Labrador Retriever/Border Collie,Tricolor,0.0
A752207,,06/19/2017 04:33:00 PM,06/19/2017 04:33:00 PM,Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Miniature Schnauzer Mix,Gray/White,,06/23/2017 05:01:00 PM,06/23/2017 05:01:00 PM,06/19/2016,Dog,Neutered Male,1 year,Miniature Schnauzer Mix,Gray/White,0.0
A758758,,09/21/2017 12:59:00 PM,09/21/2017 12:59:00 PM,Del Valle (TX),Owner Surrender,Normal,Cat,Intact Female,2 months,Domestic Shorthair Mix,Calico,,11/25/2017 03:50:00 PM,11/25/2017 03:50:00 PM,07/21/2017,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Calico,0.0
A678657,Pokey,05/11/2014 01:07:00 PM,05/11/2014 01:07:00 PM,1720 Grand Ave in Pflugerville (TX),Owner Surrender,Normal,Dog,Intact Male,4 years,Chihuahua Shorthair/French Bulldog,White/Brown,Pokey,07/15/2014 04:37:00 PM,07/15/2014 04:37:00 PM,05/11/2010,Dog,Neutered Male,4 years,Chihuahua Shorthair/French Bulldog,White/Brown,0.0
A678099,Spartacus,06/03/2015 12:46:00 PM,06/03/2015 12:46:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,2 years,Akita/Pit Bull,Tan/White,Spartacus,06/10/2015 05:23:00 PM,06/10/2015 05:23:00 PM,05/03/2013,Dog,Neutered Male,2 years,Akita/Pit Bull,Tan/White,1.0
A704611,,06/06/2015 06:12:00 PM,06/06/2015 06:12:00 PM,5701 Johnny Morris Rd in Austin (TX),Stray,Normal,Cat,Unknown,1 weeks,Domestic Shorthair Mix,Brown Tabby/White,,06/06/2015 07:06:00 PM,06/06/2015 07:06:00 PM,05/27/2015,Cat,Unknown,1 weeks,Domestic Shorthair Mix,Brown Tabby/White,0.0
A699290,*Sara,03/25/2015 11:34:00 AM,03/25/2015 11:34:00 AM,8501 Cameron Rd in Austin (TX),Stray,Nursing,Cat,Intact Female,1 weeks,Domestic Shorthair Mix,Black,*Sara,03/29/2015 03:26:00 PM,03/29/2015 03:26:00 PM,03/15/2015,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,Black,0.0
A782404,,10/14/2018 04:01:00 PM,10/14/2018 04:01:00 PM,4700 Button Bend Road in Austin (TX),Stray,Normal,Cat,Intact Female,7 months,Domestic Shorthair Mix,Black/White,,10/18/2018 11:08:00 AM,10/18/2018 11:08:00 AM,02/14/2018,Cat,Intact Female,8 months,Domestic Shorthair Mix,Black/White,0.0
A728340,,06/02/2016 03:22:00 PM,06/02/2016 03:22:00 PM,12118 Walnut Park Xing Neer Bulding 7 in Austin (TX),Wildlife,Sick,Other,Unknown,2 years,Raccoon Mix,Black/Gray,,06/02/2016 03:35:00 PM,06/02/2016 03:35:00 PM,06/02/2014,Other,Unknown,2 years,Raccoon Mix,Black/Gray,1.0
A734067,,08/31/2016 06:43:00 PM,08/31/2016 06:43:00 PM,4924 Craigwood And Fm 969 in Austin (TX),Stray,Normal,Cat,Intact Female,1 year,Domestic Shorthair Mix,Black/White,,09/08/2016 11:42:00 AM,09/08/2016 11:42:00 AM,08/31/2015,Cat,Intact Female,1 year,Domestic Shorthair Mix,Black/White,0.0
A753276,Chopin,07/04/2017 11:43:00 AM,07/04/2017 11:43:00 AM,West 41St Street And Ramsey Avenue in Austin (TX),Stray,Normal,Cat,Neutered Male,6 months,Domestic Shorthair Mix,Black,Chopin,07/04/2017 01:33:00 PM,07/04/2017 01:33:00 PM,12/04/2016,Cat,Neutered Male,6 months,Domestic Shorthair Mix,Black,0.0
A704703,*Ophelia,06/08/2015 11:29:00 AM,06/08/2015 11:29:00 AM,5220 Hudson Bend Rd in Austin (TX),Stray,Normal,Dog,Intact Female,2 years,Australian Shepherd Mix,Brown Brindle,*Ophelia,06/14/2015 01:13:00 PM,06/14/2015 01:13:00 PM,06/08/2013,Dog,Spayed Female,2 years,Australian Shepherd Mix,Brown Brindle,0.0
A807979,,11/02/2019 03:02:00 PM,11/02/2019 03:02:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Intact Female,2 months,Beagle/Pug,Black/Brown,,11/11/2019 01:03:00 PM,11/11/2019 01:03:00 PM,08/26/2019,Dog,Spayed Female,2 months,Beagle/Pug,Black/Brown,0.0
A808473,Lefty,11/09/2019 02:10:00 PM,11/09/2019 02:10:00 PM,Travis (TX),Owner Surrender,Normal,Cat,Intact Female,2 months,Domestic Shorthair,Tortie,Lefty,11/25/2019 03:24:00 PM,11/25/2019 03:24:00 PM,08/20/2019,Cat,Intact Female,3 months,Domestic Shorthair,Tortie,0.0
A779219,El Gordo,08/28/2018 11:09:00 AM,08/28/2018 11:09:00 AM,Austin (TX),Owner Surrender,Normal,Dog,Intact Male,1 year,German Shepherd Mix,Brown/White,El Gordo,09/06/2018 11:56:00 AM,09/06/2018 11:56:00 AM,08/28/2017,Dog,Intact Male,1 year,German Shepherd Mix,Brown/White,0.0
A675633,,03/30/2014 02:07:00 PM,03/30/2014 02:07:00 PM,12005 Trotwood in Austin (TX),Stray,Normal,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Black,,04/09/2014 03:42:00 PM,04/09/2014 03:42:00 PM,03/30/2012,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Black,0.0
A732887,,08/14/2016 01:19:00 PM,08/14/2016 01:19:00 PM,7601 Old Lockhart Rd in Travis (TX),Stray,Normal,Cat,Unknown,1 weeks,Domestic Shorthair Mix,Calico,,08/14/2016 07:12:00 PM,08/14/2016 07:12:00 PM,08/04/2016,Cat,Unknown,1 weeks,Domestic Shorthair Mix,Calico,0.0
A790678,,03/14/2019 01:19:00 PM,03/14/2019 01:19:00 PM,4102 Reynosa Drive in Austin (TX),Stray,Normal,Cat,Unknown,1 day,Domestic Shorthair Mix,Black,,03/19/2019 01:22:00 PM,03/19/2019 01:22:00 PM,03/13/2019,Cat,Unknown,6 days,Domestic Shorthair Mix,Black,0.0
A726609,*Marty,05/12/2016 04:48:00 PM,05/12/2016 04:48:00 PM,Austin (TX),Stray,Normal,Dog,Intact Male,5 months,Chihuahua Shorthair Mix,Tan/White,*Marty,05/16/2016 02:11:00 PM,05/16/2016 02:11:00 PM,11/12/2015,Dog,Intact Male,6 months,Chihuahua Shorthair Mix,Tan/White,0.0
A590479,Molly,08/12/2014 11:21:00 AM,08/12/2014 11:21:00 AM,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,7 years,Great Pyrenees/Standard Poodle,White,Molly,08/22/2014 03:17:00 PM,08/22/2014 03:17:00 PM,12/18/2006,Dog,Spayed Female,7 years,Great Pyrenees/Standard Poodle,White,0.0
A812727,Lucas,01/27/2020 03:47:00 PM,01/27/2020 03:47:00 PM,East Howard Lane And Harris Branch Parkwy in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Wire Hair Fox Terrier,White/Tan,Lucas,01/28/2020 03:05:00 PM,01/28/2020 03:05:00 PM,01/21/2019,Dog,Intact Male,1 year,Wire Hair Fox Terrier,White/Tan,0.0
A705377,Oso,06/16/2015 02:38:00 PM,06/16/2015 02:38:00 PM,8000 Taza Ln in Travis (TX),Public Assist,Normal,Dog,Intact Male,1 year,Chihuahua Shorthair Mix,Tan/White,Oso,06/24/2015 05:34:00 PM,06/24/2015 05:34:00 PM,06/16/2014,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,Tan/White,0.0
A670848,Sandy,01/15/2014 10:31:00 AM,01/15/2014 10:31:00 AM,Redd St & Gillis St in Austin (TX),Stray,Normal,Dog,Spayed Female,10 years,Beagle/Basset Hound,Tan/White,Sandy,01/15/2014 05:59:00 PM,01/15/2014 05:59:00 PM,01/15/2004,Dog,Spayed Female,10 years,Beagle/Basset Hound,Tan/White,0.0
A652827,Estrella,11/15/2013 04:24:00 PM,11/15/2013 04:24:00 PM,4405 Bucks Run in Austin (TX),Stray,Normal,Dog,Intact Female,1 year,Labrador Retriever/Beagle,Red/White,Estrella,11/17/2013 05:19:00 PM,11/17/2013 05:19:00 PM,04/29/2012,Dog,Spayed Female,1 year,Labrador Retriever/Beagle,Red/White,0.0
A769663,,04/19/2018 04:43:00 PM,04/19/2018 04:43:00 PM,2801 Robinson Ave in Austin (TX),Stray,Injured,Cat,Intact Male,2 years,Domestic Shorthair Mix,Black Tabby,,04/19/2018 05:44:00 PM,04/19/2018 05:44:00 PM,04/08/2016,Cat,Intact Male,2 years,Domestic Shorthair Mix,Black Tabby,1.0
A735428,*Morpheus,09/23/2016 12:00:00 PM,09/23/2016 12:00:00 PM,Austin (TX),Owner Surrender,Normal,Cat,Intact Male,10 months,Domestic Shorthair Mix,Brown Tabby,*Morpheus,11/13/2016 05:42:00 PM,11/13/2016 05:42:00 PM,11/23/2015,Cat,Neutered Male,11 months,Domestic Shorthair Mix,Brown Tabby,0.0
A689959,Izzy,12/08/2018 06:23:00 PM,12/08/2018 06:23:00 PM,8810 Tallwood Drive in Austin (TX),Stray,Normal,Dog,Spayed Female,8 years,Boxer Mix,Fawn/White,Izzy,12/09/2018 11:13:00 AM,12/09/2018 11:13:00 AM,10/11/2010,Dog,Spayed Female,8 years,Boxer Mix,Fawn/White,0.0
A799064,*Newt,07/03/2019 06:54:00 PM,07/03/2019 06:54:00 PM,Rutland And Mountain Quail Road in Austin (TX),Stray,Normal,Dog,Neutered Male,2 years,Pit Bull Mix,White/Brown,*Newt,07/10/2019 04:36:00 PM,07/10/2019 04:36:00 PM,07/03/2017,Dog,Neutered Male,2 years,Pit Bull Mix,White/Brown,0.0
A744451,,03/01/2017 12:26:00 PM,03/01/2017 12:26:00 PM,6702 Ripple Run in Austin (TX),Stray,Normal,Dog,Intact Female,8 months,Weimaraner Mix,Blue,,03/05/2017 05:46:00 PM,03/05/2017 05:46:00 PM,06/01/2016,Dog,Spayed Female,9 months,Weimaraner Mix,Blue,0.0
A789456,Lincoln,02/21/2019 06:27:00 PM,02/21/2019 06:27:00 PM,Dwight Eisenhower in Travis (TX),Stray,Normal,Dog,Neutered Male,9 years,Alaskan Malamute/Alaskan Husky,White/Black,Lincoln,02/22/2019 06:18:00 PM,02/22/2019 06:18:00 PM,02/22/2010,Dog,Neutered Male,9 years,Alaskan Malamute/Alaskan Husky,White/Black,0.0
A773820,*Albert,06/05/2018 07:14:00 PM,06/05/2018 07:14:00 PM,6802 Lucy Cv in Austin (TX),Stray,Normal,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Brown Tabby,*Albert,09/29/2018 12:56:00 PM,09/29/2018 12:56:00 PM,05/05/2018,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Brown Tabby,0.0
A802007,,08/12/2019 07:19:00 PM,08/12/2019 07:19:00 PM,132 Eberhardt Ln in Austin (TX),Stray,Normal,Dog,Unknown,1 weeks,Pointer/Labrador Retriever,Brown/White,,08/22/2019 12:00:00 AM,08/22/2019 12:00:00 AM,07/31/2019,Dog,Unknown,3 weeks,Pointer/Labrador Retriever,Brown/White,1.0
A789149,,02/15/2019 07:02:00 PM,02/15/2019 07:02:00 PM,2200 South Pleasant Valley in Austin (TX),Stray,Normal,Cat,Intact Female,4 months,Manx Mix,Black/White,,02/26/2019 12:06:00 PM,02/26/2019 12:06:00 PM,10/15/2018,Cat,Spayed Female,4 months,Manx Mix,Black/White,0.0
A722673,*Andy,03/20/2016 03:39:00 PM,03/20/2016 03:39:00 PM,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,5 years,Domestic Shorthair Mix,White/Brown Tabby,*Andy,05/02/2016 02:12:00 PM,05/02/2016 02:12:00 PM,11/01/2010,Cat,Neutered Male,5 years,Domestic Shorthair Mix,White/Brown Tabby,0.0
A758797,,09/22/2017 10:37:00 AM,09/22/2017 10:37:00 AM,1903 Willow Street in Austin (TX),Stray,Normal,Cat,Intact Female,2 months,Domestic Shorthair Mix,Tortie,,10/03/2017 03:46:00 PM,10/03/2017 03:46:00 PM,07/22/2017,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Tortie,0.0
A754282,,07/18/2017 01:12:00 PM,07/18/2017 01:12:00 PM,8119 South Farm To Market 973 in Austin (TX),Stray,Normal,Cat,Intact Male,2 months,Domestic Shorthair Mix,Orange Tabby,,07/22/2017 12:20:00 PM,07/22/2017 12:20:00 PM,04/18/2017,Cat,Intact Male,3 months,Domestic Shorthair Mix,Orange Tabby,0.0
A740667,Sully,12/21/2016 11:10:00 AM,12/21/2016 11:10:00 AM,Emerald Forest And Stassney Ln in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Chihuahua Shorthair Mix,Red/White,Sully,12/27/2016 03:40:00 PM,12/27/2016 03:40:00 PM,12/21/2015,Dog,Intact Male,1 year,Chihuahua Shorthair Mix,Red/White,0.0
A805210,Smokey,10/03/2019 09:17:00 AM,10/03/2019 09:17:00 AM,Aberedeen in Austin (TX),Stray,Normal,Dog,Intact Female,3 months,Australian Shepherd Mix,Brown Merle,Smokey,10/06/2019 05:58:00 PM,10/06/2019 05:58:00 PM,07/01/2019,Dog,Intact Female,3 months,Australian Shepherd Mix,Brown Merle,0.0
A759662,*Yancey,10/05/2017 01:21:00 PM,10/05/2017 01:21:00 PM,4700 East Riverside Drive in Austin (TX),Stray,Normal,Cat,Intact Male,3 weeks,Domestic Medium Hair Mix,Black Smoke,*Yancey,12/19/2017 04:29:00 PM,12/19/2017 04:29:00 PM,09/13/2017,Cat,Neutered Male,3 months,Domestic Medium Hair Mix,Black Smoke,0.0
A793684,*Titan,04/28/2019 02:47:00 PM,04/28/2019 02:47:00 PM,Austin (TX),Stray,Normal,Dog,Intact Female,2 years,Great Pyrenees Mix,White/Black,*Titan,05/07/2019 05:17:00 PM,05/07/2019 05:17:00 PM,04/28/2017,Dog,Spayed Female,2 years,Great Pyrenees Mix,White/Black,0.0
A803634,Odin,09/03/2019 06:23:00 PM,09/03/2019 06:23:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Intact Male,4 months,American Bulldog,White/Brown Brindle,Odin,09/05/2019 05:18:00 PM,09/05/2019 05:18:00 PM,05/03/2019,Dog,Neutered Male,4 months,American Bulldog,White/Brown Brindle,0.0
A799915,,07/13/2019 04:49:00 PM,07/13/2019 04:49:00 PM,Willaim Cannon Boulevard And South 1St Street in Austin (TX),Stray,Normal,Dog,Intact Male,10 years,Chihuahua Shorthair,Tan,,07/17/2019 12:44:00 PM,07/17/2019 12:44:00 PM,07/13/2009,Dog,Intact Male,10 years,Chihuahua Shorthair,Tan,0.0
A720462,Darwin,02/10/2016 07:26:00 AM,02/10/2016 07:26:00 AM,Burleson Rd in Austin (TX),Stray,Normal,Dog,Neutered Male,6 months,German Shepherd Mix,Black,Darwin,02/13/2016 01:54:00 PM,02/13/2016 01:54:00 PM,08/10/2015,Dog,Neutered Male,6 months,German Shepherd Mix,Black,0.0
A808459,Kiwi,11/09/2019 11:31:00 AM,11/09/2019 11:31:00 AM,Travis (TX),Owner Surrender,Normal,Cat,Intact Male,1 year,Domestic Shorthair Mix,Cream Tabby/White,Kiwi,11/29/2019 12:00:00 AM,11/29/2019 12:00:00 AM,11/09/2018,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Cream Tabby/White,0.0
A763986,,12/19/2017 03:54:00 PM,12/19/2017 03:54:00 PM,1773 Wells Branch Parkway in Austin (TX),Stray,Normal,Cat,Intact Male,2 years,Domestic Shorthair Mix,Brown Tabby/White,,12/24/2017 11:23:00 AM,12/24/2017 11:23:00 AM,12/19/2015,Cat,Intact Male,2 years,Domestic Shorthair Mix,Brown Tabby/White,0.0
A707126,Pulucha,07/08/2015 12:36:00 PM,07/08/2015 12:36:00 PM,6700 Blk in Austin (TX),Stray,Normal,Dog,Intact Female,2 years,Australian Cattle Dog Mix,Black/Blue Merle,Pulucha,07/14/2015 06:41:00 PM,07/14/2015 06:41:00 PM,07/08/2013,Dog,Spayed Female,2 years,Australian Cattle Dog Mix,Black/Blue Merle,0.0
A737055,,10/21/2016 01:52:00 PM,10/21/2016 01:52:00 PM,2319 Bitter Creek Dr in Austin (TX),Stray,Sick,Cat,Unknown,4 months,Domestic Medium Hair Mix,White,,10/21/2016 05:52:00 PM,10/21/2016 05:52:00 PM,06/21/2016,Cat,Unknown,4 months,Domestic Medium Hair Mix,White,1.0
A677798,Happy,03/10/2016 11:45:00 AM,03/10/2016 11:45:00 AM,Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Black/White,Happy,04/06/2016 12:00:00 AM,04/06/2016 12:00:00 AM,10/29/2013,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Black/White,0.0
A761812,Katelynn,11/09/2017 09:38:00 PM,11/09/2017 09:38:00 PM,7109 South Brook Dr in Austin (TX),Public Assist,Normal,Cat,Spayed Female,10 years,Domestic Shorthair Mix,Orange/White,Katelynn,11/16/2017 01:08:00 PM,11/16/2017 01:08:00 PM,11/10/2007,Cat,Spayed Female,10 years,Domestic Shorthair Mix,Orange/White,0.0
A756973,Xia,08/28/2017 03:31:00 PM,08/28/2017 03:31:00 PM,Wells Branch Parkway in Austin (TX),Stray,Normal,Dog,Spayed Female,6 years,Pit Bull Mix,Blue/White,Xia,08/29/2017 01:11:00 PM,08/29/2017 01:11:00 PM,08/28/2011,Dog,Spayed Female,6 years,Pit Bull Mix,Blue/White,0.0
A706693,,07/02/2015 11:02:00 AM,07/02/2015 11:02:00 AM,7005 Ten Oaks Cir in Austin (TX),Stray,Normal,Cat,Unknown,1 year,Domestic Shorthair Mix,Brown Tabby,,07/03/2015 09:00:00 AM,07/03/2015 09:00:00 AM,07/02/2014,Cat,Unknown,1 year,Domestic Shorthair Mix,Brown Tabby,0.0
A706297,*Katie,06/27/2015 11:13:00 AM,06/27/2015 11:13:00 AM,2100 Barton Springs Road in Austin (TX),Stray,Normal,Dog,Spayed Female,7 years,Labrador Retriever Mix,Black/White,*Katie,10/06/2015 12:41:00 PM,10/06/2015 12:41:00 PM,07/13/2007,Dog,Spayed Female,8 years,Labrador Retriever Mix,Black/White,0.0
A721269,,02/24/2016 11:18:00 AM,02/24/2016 11:18:00 AM,Austin (TX),Owner Surrender,Normal,Dog,Intact Male,1 weeks,Chihuahua Shorthair/Dachshund,Chocolate/Tan,,03/01/2016 05:30:00 PM,03/01/2016 05:30:00 PM,02/12/2016,Dog,Intact Male,2 weeks,Chihuahua Shorthair/Dachshund,Chocolate/Tan,0.0
A742005,Sunny,01/13/2017 09:13:00 AM,01/13/2017 09:13:00 AM,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,10 years,Labrador Retriever Mix,Yellow,Sunny,04/28/2017 12:46:00 PM,04/28/2017 12:46:00 PM,01/13/2007,Dog,Spayed Female,10 years,Labrador Retriever Mix,Yellow,0.0
A789960,Coco,03/02/2019 02:55:00 PM,03/02/2019 02:55:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Intact Female,2 months,Chihuahua Shorthair Mix,Chocolate/Tricolor,Coco,03/04/2019 06:12:00 PM,03/04/2019 06:12:00 PM,12/11/2018,Dog,Spayed Female,2 months,Chihuahua Shorthair Mix,Chocolate/Tricolor,0.0
A703126,*Mia,05/20/2015 06:27:00 PM,05/20/2015 06:27:00 PM,2628 Alcott Ln in Austin (TX),Stray,Normal,Cat,Intact Female,4 weeks,Domestic Shorthair Mix,Tortie,*Mia,08/15/2015 08:45:00 AM,08/15/2015 08:45:00 AM,04/20/2015,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Tortie,0.0
A759115,,09/27/2017 11:35:00 AM,09/27/2017 11:35:00 AM,1301 Barbergale Street in Pflugerville (TX),Stray,Normal,Cat,Intact Female,1 year,Domestic Shorthair Mix,Blue Tabby,,09/30/2017 06:47:00 PM,09/30/2017 06:47:00 PM,09/27/2016,Cat,Intact Female,1 year,Domestic Shorthair Mix,Blue Tabby,0.0
A684680,,07/27/2014 11:19:00 AM,07/27/2014 11:19:00 AM,2600 Scofield Ridge Pkwy in Austin (TX),Stray,Normal,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Black/White,,07/27/2014 12:59:00 PM,07/27/2014 12:59:00 PM,07/05/2014,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Black/White,0.0
A764763,Basil,01/05/2018 05:29:00 PM,01/05/2018 05:29:00 PM,Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,3 years,Domestic Shorthair Mix,Brown Tabby,Basil,02/18/2018 06:54:00 PM,02/18/2018 06:54:00 PM,01/05/2015,Cat,Spayed Female,3 years,Domestic Shorthair Mix,Brown Tabby,0.0
A753245,*Ursula,07/03/2017 03:30:00 PM,07/03/2017 03:30:00 PM,1105 Kramer Lane in Austin (TX),Stray,Normal,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Brown Tabby/White,*Ursula,09/08/2017 05:14:00 PM,09/08/2017 05:14:00 PM,06/11/2017,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby/White,0.0
A687033,Thor,09/06/2014 01:47:00 PM,09/06/2014 01:47:00 PM,Mlk And Airport in Austin (TX),Stray,Normal,Dog,Intact Male,5 years,Alaskan Husky/Australian Shepherd,Gray/White,Thor,09/13/2014 05:24:00 PM,09/13/2014 05:24:00 PM,08/30/2009,Dog,Intact Male,5 years,Alaskan Husky/Australian Shepherd,Gray/White,0.0
A700366,,04/12/2015 04:05:00 PM,04/12/2015 04:05:00 PM,9201 Scenic Bluff Dr in Austin (TX),Stray,Normal,Dog,Spayed Female,3 years,Labrador Retriever Mix,Black,,04/13/2015 11:41:00 AM,04/13/2015 11:41:00 AM,04/12/2012,Dog,Spayed Female,3 years,Labrador Retriever Mix,Black,0.0
A773318,Rain,05/30/2018 01:22:00 PM,05/30/2018 01:22:00 PM,19111 Fm 969 in Manor (TX),Stray,Normal,Dog,Intact Female,7 months,Australian Shepherd Mix,White/Brown,Rain,06/03/2018 06:30:00 PM,06/03/2018 06:30:00 PM,10/03/2017,Dog,Spayed Female,7 months,Australian Shepherd Mix,White/Brown,0.0
A676666,,04/13/2014 03:44:00 PM,04/13/2014 03:44:00 PM,3508 Basford in Austin (TX),Wildlife,Sick,Other,Unknown,3 years,Raccoon Mix,Black/Gray,,04/13/2014 04:02:00 PM,04/13/2014 04:02:00 PM,04/13/2011,Other,Unknown,3 years,Raccoon Mix,Black/Gray,1.0
A788423,Myra Jane,02/02/2019 12:51:00 PM,02/02/2019 12:51:00 PM,12107 Riprap Drive in Manor (TX),Stray,Normal,Dog,Intact Female,1 year,Cardigan Welsh Corgi Mix,Black/White,Myra Jane,02/06/2019 05:35:00 PM,02/06/2019 05:35:00 PM,02/02/2018,Dog,Spayed Female,1 year,Cardigan Welsh Corgi Mix,Black/White,0.0
A802081,,08/13/2019 04:27:00 PM,08/13/2019 04:27:00 PM,401 Little Texas Lane in Austin (TX),Stray,Normal,Cat,Unknown,3 weeks,Domestic Shorthair,Blue Tabby,,08/13/2019 05:50:00 PM,08/13/2019 05:50:00 PM,07/22/2019,Cat,Unknown,3 weeks,Domestic Shorthair,Blue Tabby,0.0
A723684,,04/04/2016 06:34:00 PM,04/04/2016 06:34:00 PM,12811 Broughton Way in Austin (TX),Stray,Normal,Cat,Unknown,3 weeks,Domestic Shorthair Mix,Black/White,,04/04/2016 06:45:00 PM,04/04/2016 06:45:00 PM,03/13/2016,Cat,Unknown,3 weeks,Domestic Shorthair Mix,Black/White,0.0
A803138,*Teddy,09/02/2019 02:03:00 PM,09/02/2019 02:03:00 PM,1300 South Pleasant Valley in Austin (TX),Stray,Normal,Cat,Intact Male,1 weeks,Domestic Shorthair,White/Brown Tabby,*Teddy,11/18/2019 06:31:00 PM,11/18/2019 06:31:00 PM,08/25/2019,Cat,Neutered Male,2 months,Domestic Shorthair,White/Brown Tabby,0.0
A656668,Napoleon,05/02/2014 11:03:00 AM,05/02/2014 11:03:00 AM,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,1 year,St. Bernard Rough Coat/Standard Schnauzer,Gray/White,Napoleon,05/04/2014 12:47:00 PM,05/04/2014 12:47:00 PM,03/18/2013,Dog,Neutered Male,1 year,St. Bernard Rough Coat/Standard Schnauzer,Gray/White,0.0
A726207,Dexter,05/07/2016 05:15:00 PM,05/07/2016 05:15:00 PM,E 6Th St And Chicon St in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Pit Bull Mix,White/Black,Dexter,05/08/2016 05:11:00 PM,05/08/2016 05:11:00 PM,05/07/2014,Dog,Neutered Male,2 years,Pit Bull Mix,White/Black,0.0
A809576,Nori,11/27/2019 01:50:00 PM,11/27/2019 01:50:00 PM,Austin (TX),Public Assist,Normal,Dog,Spayed Female,3 years,Australian Cattle Dog,Black/Gray,Nori,12/03/2019 12:15:00 PM,12/03/2019 12:15:00 PM,11/27/2016,Dog,Spayed Female,3 years,Australian Cattle Dog,Black/Gray,0.0
A688354,,09/18/2014 01:03:00 PM,09/18/2014 01:03:00 PM,2916 Garwood St in Austin (TX),Stray,Normal,Dog,Intact Female,2 years,Yorkshire Terrier Mix,Tan/Silver,,09/22/2014 07:06:00 PM,09/22/2014 07:06:00 PM,09/18/2012,Dog,Spayed Female,2 years,Yorkshire Terrier Mix,Tan/Silver,0.0
A698518,,03/13/2015 10:03:00 AM,03/13/2015 10:03:00 AM,E 4Th St & Chicon St in Austin (TX),Wildlife,Injured,Other,Unknown,1 year,Opossum Mix,Gray/White,,03/13/2015 10:57:00 AM,03/13/2015 10:57:00 AM,03/13/2014,Other,Unknown,1 year,Opossum Mix,Gray/White,1.0
A749661,Connor,05/17/2017 06:38:00 PM,05/17/2017 06:38:00 PM,2425 E Riverside Dr in Austin (TX),Stray,Normal,Dog,Intact Male,6 months,Dalmatian Mix,White/Black,Connor,05/21/2017 05:28:00 PM,05/21/2017 05:28:00 PM,10/17/2016,Dog,Neutered Male,7 months,Dalmatian Mix,White/Black,0.0
A781407,,09/28/2018 04:56:00 PM,09/28/2018 04:56:00 PM,1701 Toomey Road in Austin (TX),Stray,Normal,Cat,Intact Female,8 years,Domestic Shorthair Mix,White/Blue,,10/02/2018 04:13:00 PM,10/02/2018 04:13:00 PM,09/28/2010,Cat,Intact Female,8 years,Domestic Shorthair Mix,White/Blue,1.0
